Slug,Link
15-sabados-a-nossa-senhora-do-rosario,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FDevo%C3%A7%C3%B5es%20especiais%2Fdevocao-15-sabados-ns-rosarii.json?alt=media&token=aa551c67-f001-4b13-be12-96146984b5e3
40-pai-nossos,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F40-pai-nossos.json?alt=media&token=32ca248b-2aeb-4d27-b279-62ec2ba82da3
a-deus-uno-e-trino,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fa-deus-uno-e-trino.json?alt=media&token=c38d0d3b-cc16-4687-b85c-d459e636a0c8
a-vossa-protecao,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/%C3%80_vossa_prote%C3%A7%C3%A3o.json
adoro-te-devoto,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fadoro-te-devote.json?alt=media&token=938e58e8-2a11-48a8-92bc-ad4b84abd2ad
alma-de-cristo-anima-christi,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Falma-de-cristo.json?alt=media&token=854e04b8-1154-43d9-a992-2bc62281926d
alma-redemptoris-mater,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Falma-redemptoris-mater.json?alt=media&token=a502316a-e549-4e04-b1d1-5f88c1a3d590
angelus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/%C3%A2ngelus.json
angelus-latim,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/angelus-latim.json
ato-de-abandono,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fato-de-abandono.json?alt=media&token=1f576340-d66e-4929-a615-8bb7642052f5
ato-de-caridade,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fato-de-caridade.json?alt=media&token=b6c78bc1-bd1d-42a5-82de-4b63320c65d9
ato-de-confianca,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fato-de-confianca.json?alt=media&token=48551dd2-5253-4698-8a97-2770f5d44d86
ato-de-contricao,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ato_de_contri%C3%A7%C3%A3o.json
ato-de-esperanca,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fato-de-esperanca.json?alt=media&token=8cf2d97f-87bb-4a7d-9682-fabe1351f7fb
ato-de-fe,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fato-de-fe.json?alt=media&token=971b2aef-2c3a-4484-b8e1-39ec8ab372fd
ave-jose,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fave-jose.json?alt=media&token=5c3a25a4-224b-408d-b511-7b7ddfc91f39
ave-maria,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ave_maria.json
ave-maria-meditada-pelas-almas,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2Fave-maria-pelas-almas.json?alt=media&token=3d2225f5-b916-416a-b558-001baa650922
ave-rainha-dos-ceus,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fave-rainha-dos-ceus.json?alt=media&token=b9376edd-2b4a-47e6-809b-9b4fdd1dcfb7
cantico-de-nossa-senhora-magnificat,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fmagnificat.json?alt=media&token=16005b09-1f5d-4723-b1c8-8e4fa0c6c942
cantico-de-zacarias-benedictus,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fcantico-de-zacarias.json?alt=media&token=fb61e068-3af0-4e9c-845b-9862bed2fbaf
comunhao-espiritual,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fcomunhao-espiritual.json?alt=media&token=3c4116df-9539-432c-b1d8-bb6ec389848b
confesso-a-deus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/confesso_a_deus.json
consagracao-a-nossa-senhora,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/consagra%C3%A7%C3%A3o_a_nossa_senhora.json
cordeiro-de-deus-agnus-dei,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fcordeiro-de-deus.json?alt=media&token=617a77d7-3bb7-402d-87f0-4fd702388516
coroa-das-sete-dores-de-nossa-senhora,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/coroa_sete_dores_de_nossa_senhora.json
coroa-de-nossa-senhora-das-lagrimas,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/coroa-nossa-senhora-das-lagrimas.json
coroa-do-divino-espirito-santo,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FTer%C3%A7os%20e%20Coroas%2Fcoroa-divino-espirito-santo.json?alt=media&token=7b199c57-66a1-43d6-ab61-409d5f1101e7
coroa-pelas-almas-do-purgatorio,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FTer%C3%A7os%20e%20Coroas%2Fcoroa-almas-do-purgatorio.json?alt=media&token=ebb2230c-f891-439e-a2b3-35a533803b34
coroinha-de-nossa-senhora,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/coroinha_de_nossa_senhora.json
coroinha-de-nossa-senhora-latim,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/latim-coroinha_de_nossa_senhora.json
coroinha-de-santa-filomena,https://cdn.oratioapp.com.br/content/oracoes/coroas/santa-filomena.json
couraca-de-sao-patricio,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2Fcouraca-de-s-patricio.json?alt=media&token=2e633a0b-8d94-4122-bd75-082543f87cf5
credo-apostolico,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/credo_apost%C3%B3lico.json
credo-de-santo-atanasio,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fcredo-de-santo-atanasio.json?alt=media&token=6e0be315-29f8-41a1-808b-76528449e476
credo-niceno-constantinopolitano,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/credo_niceno-constantinopolitano.json
dai-lhes-senhor-o-descanso-eterno-requiem,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Frequiem.json?alt=media&token=f229ad8c-ddaf-4920-96f7-ba29d54dc595
devocao-das-9-primeiras-sextas-feiras-ao-sagrado-coracao,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/devocao-9-sextas-feiras-scj.json
espirito-santo-deus-de-amor-santo-tomas-de-aquino,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fespirito-santo-deus-de-amor.json?alt=media&token=8902e120-46cb-4566-978a-74fb4e755eb6
espirito-santo-inspirai-me-santa-miriam-de-jesus-crucificado,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fespirito-santo-inspirai-nos.json?alt=media&token=89efeafb-7939-4174-8628-fdac683abb6a
exame-de-consciencia-detalhado-a-partir-dos-mandamentos-de-deus-e-da-igreja,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/exame-consciencia-detalhado.json
exercicio-de-desagravo-pelo-carnaval,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ato-desagravo-pelo-carnaval.json
gloria-a-deus-nas-alturas-gloria-in-excelsis-deo,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fgloria-a-deus-nas-alturas.json?alt=media&token=1a363437-b617-4ab6-a427-29c4564fdc47
gloria-ao-pai,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/gl%C3%B3ria_ao_pai.json
guia-para-confissao,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/guia-confissao.json
hora-santa,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2Fhora-santa.json?alt=media&token=24296a75-bc19-4ed2-b38f-b137effbc5c2
hora-santa-de-santa-gemma-galgani,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2Fhora-santa-sta-gemma.json?alt=media&token=86177294-f274-410f-a6ac-d54d0b9d9dc6
inspirai-o-senhor,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Finpirai-o-senhor.json?alt=media&token=f1e2ed39-dd3e-4b2e-bd59-695c774b59bf
invocacao-ao-espirito-santo-pe-stefano-gobbi,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Finvocacao-do-espirito-santo-pe-gobbi.json?alt=media&token=e09da8a3-bc4c-4d50-b1cc-f8e5690f9e07
ladainha-a-jesus-misericordioso-por-uma-boa-morte,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-jesus-misericordioso-boa-mrte.json
ladainha-a-nossa-senhora-mae-da-divina-misericordia,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-ns-mae-divina-misericordia.json
ladainha-a-sao-luis-maria-grignion-de-montfort,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-s-luis-montfort.json
ladainha-a-sao-miguel-arcanjo,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-s-miguel-arcanjo.json
ladainha-ao-menino-jesus-de-praga,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-menino-jesus-prga.json
ladainha-ao-santissimo-nome-de-jesus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-ss-nome-jesus.json
ladainha-da-divina-misericordia,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-divina-misericordia.json
ladainha-da-humildade,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-humildade.json
ladainha-da-sagrada-cabeca-de-jesus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-sagrada-cabeca-jesus.json
ladainha-das-chagas-de-cristo,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-chagas-cristo.json
ladainha-de-deus-pai,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-deus-pai.json
ladainha-de-nossa-senhora,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-nossa-senhora.json
ladainha-de-santa-filomena,https://cdn.oratioapp.com.br/content/oracoes/ladainhas/santa-filomena.json
ladainha-de-sao-filipe-neri,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FLadainhas%2Fladainha-s-filipe-neri.json?alt=media&token=97f0d6dd-3d34-401b-92fd-63b4f3c0414d
ladainha-de-sao-jose,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FOutras%2F1%2Fladainha-s-jos%C3%A9.json?alt=media&token=69af0542-47df-4f4c-ba3e-71bac5ab74f6
ladainha-do-espirito-santo,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-espirito-santo.json
ladainha-do-preciosissimo-sangue-de-jesus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-preciosissimo-sangue-jesus.json
ladainha-do-sagrado-coracao-de-jesus,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/ladainha-sagrado-coracao-jesus.json
ladainha-pelas-almas-do-purgatorio,https://firebasestorage.googleapis.com/v0/b/oratio-imc.appspot.com/o/Content%2FOra%C3%A7%C3%B5es%2FLadainhas%2Fladainha-almas-purgatorii.json?alt=media&token=f7e768e2-2703-408c-aef1-fe736b9619eb
lembrai-vos,https://tstxvak.weebly.com/uploads/1/4/4/8/144864775/lembrai-vos.json
